,Income Per Patch,Net Production Per Patch,NCH Patches (%),Non-HS Strategy (%),Production Benefit Per NCH Patch,Income Deviation,HS Patches (%),HS Strategy (%)
0,0.000ns,0.000ns,0.000ns,0.000,1.834,-0.337,1.597,4.028
1,(0.016),(0.017),(0.011),(0.000),(0.070),(0.061),(0.044),(0.098)
2,0.334,0.260,0.863,1.000,-0.214,-0.189,-0.030ns,1.116
3,(0.011),(0.011),(0.007),(0.000),(0.047),(0.041),(0.029),(0.066)
4,0.000ns,0.000ns,0.000ns,0.000,0.117ns,-0.082ns,0.149ns,-1.703
5,(0.023),(0.024),(0.015),(0.000),(0.099),(0.086),(0.062),(0.138)
