,Income Per Patch,Net Production Per Patch,NCH Patches (%),Non-HS Strategy (%),Production Benefit Per NCH Patch,Income Deviation,HS Patches (%),HS Strategy (%)
0,-0.000ns,-0.000ns,-0.000ns,-0.000,1.776,-0.310,1.733,3.241
1,(0.020),(0.021),(0.013),(0.000),(0.070),(0.062),(0.045),(0.093)
2,0.346,0.284,0.883,1.000,-0.077ns,-0.062ns,-0.021ns,0.810
3,(0.012),(0.012),(0.008),(0.000),(0.041),(0.037),(0.027),(0.055)
4,0.000ns,0.000ns,0.000ns,0.000ns,-0.009ns,-0.122ns,0.096ns,-1.888
5,(0.028),(0.029),(0.018),(0.000),(0.099),(0.087),(0.064),(0.132)
