,search-number,evaluation,memory*,nchpercent*,trustindexmean*,initialexperience*,carepatchmean*,carefarmermean*,careothersmean*,fitness,num-replicates,best-fitness-so-far
35,1,360,27,1.0,0.63,6.8,0.21,0.27,0.61,0.3872171562083847,10,0.4215389830746835
36,1,370,13,0.55,0.06,8.3,0.01,0.79,0.99,0.1272602187999715,10,0.4215389830746835
37,1,380,29,0.34,0.54,5.4,0.24,0.33,0.23,0.4268951228912918,10,0.4268951228912918
38,1,390,22,0.75,0.94,9.4,0.97,0.81,0.22,0.2316319852052799,10,0.4268951228912918
39,1,400,9,0.85,0.11,5.8,0.1,0.45,0.6,0.1349537709947994,10,0.4268951228912918
40,1,410,21,0.89,0.45,5.7,0.02,0.09,0.02,0.3458925072869084,10,0.4268951228912918
41,1,420,14,0.65,0.61,9.7,0.16,0.01,0.09,0.4513730959121532,10,0.4513730959121532
42,1,430,9,0.34,0.56,8.5,0.3,0.08,0.26,0.3899241360310706,10,0.4513730959121532
43,1,440,22,0.71,0.74,6.6,0.52,0.3,0.86,0.3408600754848889,10,0.4513730959121532
44,1,450,26,0.42,0.7000000000000001,8.7,0.67,0.08,0.19,0.4204367248335928,10,0.4513730959121532
45,1,460,20,0.88,0.19,9.3,0.36,0.6,0.8200000000000001,0.1863164864165403,10,0.4513730959121532
46,1,470,18,0.23,0.87,9.5,0.07,0.65,0.33,0.2801930400381857,10,0.4513730959121532
47,1,480,14,0.61,0.76,7.300000000000001,0.15,0.8200000000000001,0.46,0.3601661411979073,10,0.4513730959121532
48,1,490,18,0.59,0.84,8.9,0.6900000000000001,0.77,0.05,0.3299001790264275,10,0.4513730959121532
49,1,500,9,0.0,0.76,5.1,0.77,0.54,0.68,0.3255381879524691,10,0.4513730959121532
50,1,510,11,0.93,0.76,5.1,0.77,0.54,0.68,0.3649145110790184,10,0.4513730959121532
51,1,520,9,0.19,0.52,9.3,0.8300000000000001,0.64,0.47,0.3920827407128833,10,0.4513730959121532
52,1,530,13,0.89,0.72,9.3,0.67,0.93,0.23,0.380508678412738,10,0.4513730959121532
53,1,540,14,0.92,0.35,5.7,0.6900000000000001,0.0,0.21,0.3381762854298487,10,0.4513730959121532
54,1,550,15,0.42,0.75,8.7,0.67,0.08,0.19,0.4083736477830956,10,0.4513730959121532
55,1,560,27,0.72,0.55,7.7,0.34,0.05,0.97,0.3784243097930345,10,0.4513730959121532
56,1,570,27,0.55,0.4,7.7,0.34,0.05,0.97,0.3288666336554008,10,0.4513730959121532
57,1,580,25,0.34,0.6,8.1,0.6,0.04,0.55,0.4184881526098968,10,0.4513730959121532
58,1,590,27,0.61,0.5700000000000001,8.5,0.3,0.08,0.26,0.4518602494692817,10,0.4518602494692817
59,1,600,27,0.4,0.66,6.2,0.2,0.07,0.26,0.4269566453247949,10,0.4518602494692817
60,1,610,30,0.59,0.4,7.4,0.34,0.05,0.97,0.3501931296904068,10,0.4518602494692817
61,1,620,27,0.45,0.77,7.4,0.09,0.07,0.3,0.3505596406971795,10,0.4518602494692817
62,1,630,24,0.03,0.81,8.6,0.41,0.77,0.24,0.2853424318506225,10,0.4518602494692817
63,1,640,13,0.89,0.73,9.3,0.67,0.31,0.21,0.3782002969021175,10,0.4518602494692817
64,1,650,5,0.3,0.27,6.0,0.76,0.9,0.51,0.2523632154978679,10,0.4518602494692817
65,1,660,22,0.4,0.52,7.6,0.47,0.39,0.75,0.3697424677422009,10,0.4518602494692817
66,1,670,14,0.66,0.52,9.3,0.84,0.64,0.32,0.3950380833446764,10,0.4518602494692817
67,1,680,11,0.63,0.76,7.300000000000001,0.34,0.85,0.41,0.3446865615668462,10,0.4518602494692817
68,1,690,18,0.23,0.87,9.5,0.07,0.07,0.22,0.2558255070524207,10,0.4518602494692817
69,1,700,30,0.37,0.66,6.1,0.2,0.65,0.33,0.4086204944853103,10,0.4518602494692817
70,1,710,22,0.4,0.76,5.1,0.77,0.54,0.68,0.3469084178422037,10,0.4518602494692817
